%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1526373854419220942,2606,1526373854419123204,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00169840835873,-0.00083924658364,-0.00135544431493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0110507716332,0.00119562069813,9.79406458318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854429427268,2607,1526373854429262456,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000552633168977,-0.000655388599883,-0.000448887049947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0159243619256,-0.00960820985609,9.80335288525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854439458914,2608,1526373854439363543,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000824246666896,0.00078347728564,-0.00059363369129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0269465210312,-0.0109600678424,9.79486623645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854449953663,2609,1526373854449563519,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00197705979298,0.000352244015869,8.1325997332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0124359735951,-0.0174914705381,9.78885003626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854466806146,2610,1526373854466684102,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00141972675586,0.000898960689004,-0.000245547174819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021469717354,-0.0055510753073,9.79619296968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854470411021,2611,1526373854470235410,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00178826078716,-0.00160444051418,-0.000551169015545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0107776118733,0.00286432168476,9.80402239144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854476537753,2612,1526373854476364203,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000347896255847,-6.79421092997e-05,-0.00174552394363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00846129734942,-0.0142026275781,9.80628175557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854489591664,2613,1526373854489464925,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00113507618715,-0.000195899847634,0.000867109321377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0186440698046,-0.0189996421861,9.79014577925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854500123161,2614,1526373854499884044,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000392037500729,0.00265470971481,0.000395730101017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0125656698633,-0.020328484755,9.77967341602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854510001390,2615,1526373854509803672,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00194733706869,0.000380635874822,0.0011293276343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00987146246829,-0.0161394092697,9.81758968592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
